raw_text,source_url
This document is written in,budsas.net
Bát Nhã Ba La Mật Ða Tâm Kinh,budsas.net
(Prajnaparamitahridaya Sutra) là một trong các kinh căn bản và phổ,budsas.net
thông của Phật Giáo Ðại Thừa. Bài kinh nầy là một trong các,budsas.net
bài kinh của bộ Bát Nhã kết tập tại Ấn Ðộ qua bảy thế,budsas.net
"kỷ, từ năm 100 T.C.N. đến 600 C.N. Khi được truyền sang Trung",budsas.net
"Hoa, Tâm Kinh đã được nhiều vị cao tăng chuyển dịch từ",budsas.net
tiếng Phạn sang tiếng Hán: ngài Cưu Ma La Thập dịch vào,budsas.net
"khoảng năm 402-412 C.N., ngài Huyền Trang dịch năm 649 C.N., ngài",budsas.net
"Nghĩa Huyền (700 C.N.), ngài Pháp Nguyệt (732 C.N.), ngài Bát Nhã",budsas.net
"và Lợi Ngôn (790 C.N.), ngài Trí Tuệ Luận (850 C.N.), ngài Pháp",budsas.net
Thành (856 C.N.) và ngài Thi Hộ (980 C.N.). Trong các bản dịch,budsas.net
"nầy, bản dịch của ngài Huyền Trang là phổ thông nhất.",budsas.net
"Riêng tại Việt Nam, bản dịch",budsas.net
của ngài Huyền Trang được chuyển sang chữ quốc ngữ Hán,budsas.net
Việt và thường dùng để trì tụng hằng ngày. Quý vị cao tăng,budsas.net
"cũng có phát hành nhiều sách để giải thích nghĩa kinh, trong",budsas.net
"đó các sách của quý Hòa thượng Thích Thiện Hoa, Thích Thanh",budsas.net
"Từ, và Thích Nhất Hạnh là phổ thông nhất.",budsas.net
Sau đây là một số bài dịch,budsas.net
Việt-Anh của Tâm Kinh mà tôi đã sưu tầm trong thời gian qua.,budsas.net
Quán Tự Tại Bồ Tát hành thâm Bát,budsas.net
"nhã Ba la mật đa thời, chiếu kiến ngũ uẩn giai không, độ",budsas.net
"Xá Lợi Tử, sắc bất dị không, không bất dị sắc, sắc",budsas.net
"tức thị không, không tức thị sắc, thọ tưởng hành thức",budsas.net
"Xá Lợi Tử, thị chư pháp không tướng, bất sanh bất diệt,",budsas.net
"bất cấu bất tịnh, bất tăng bất giảm.",budsas.net
"Thị cố không trung vô sắc, vô thọ tưởng hành thức.",budsas.net
"Vô nhãn nhĩ tỷ thiệt thân ý, vô sắc thanh hương vị xúc pháp,",budsas.net
vô nhãn giới nãi chí vô ý thức giới.,budsas.net
"Vô vô minh, diệc vô vô minh tận, nãi chí vô lão tử, diệc vô",budsas.net
"Vô khổ, tập, diệt, đạo.",budsas.net
"Vô trí diệc vô đắc, dĩ vô sở đắc cố.",budsas.net
"Bồ đề tát đõa y Bát nhã Ba la mật đa cố, tâm vô quái",budsas.net
"ngại, vô quái ngại cố, vô hữu khủng bố, viễn ly điên đảo",budsas.net
"mộng tưởng, cứu cánh Niết bàn.",budsas.net
"Tam thế chư Phật, y Bát nhã Ba la mật đa cố, đắc A nậu đa",budsas.net
la Tam miệu Tam bồ đề.,budsas.net
"Cố tri Bát nhã Ba la mật đa, thị đại thần chú, thị đại",budsas.net
"minh chú, thị vô thượng chú, thị vô đẳng đẳng chú, năng",budsas.net
"trừ nhất thiết khổ, chân thật bất hư.",budsas.net
"Cố thuyết Bát nhã Ba la mật đa chú, tức thuyết chú viết:",budsas.net
"Yết đế yết đế, ba la yết đế,",budsas.net
"ba la tăng yết đế, bồ đề tát bà ha.",budsas.net
Ngài Bồ Tát Quán Tự Tại khi,budsas.net
"thực hành thâm sâu về trí tuệ Bát Nhã Ba la mật, thì soi",budsas.net
"thấy năm uẩn đều là không, do đó vượt qua mọi khổ đau",budsas.net
"Nầy Xá Lợi Tử, sắc chẳng khác gì không, không chẳng khác",budsas.net
"gì sắc, sắc chính là không, không chính là sắc, thọ tưởng",budsas.net
hành thức cũng đều như thế.,budsas.net
"Nầy Xá Lợi Tử, tướng không của các pháp ấy chẳng sinh",budsas.net
"chẳng diệt, chẳng nhơ chẳng sạch, chẳng thêm chẳng bớt.",budsas.net
"Cho nên trong cái không đó, nó không có sắc, không thọ tưởng",budsas.net
"Không có mắt, tai, mũi, lưỡi, thân ý. Không có sắc, thanh, hương",budsas.net
"vị, xúc pháp. Không có nhãn giới cho đến không có ý thức",budsas.net
"Không có vô minh,mà cũng không có hết vô minh. Không có già",budsas.net
"chết, mà cũng không có hết già chết.",budsas.net
"Không có khổ, tập, diệt, đạo.",budsas.net
"Không có trí cũng không có đắc, vì không có sở đắc.",budsas.net
Khi vị Bồ Tát nương tựa vào trí tuệ Bát Nhã nầy thì tâm,budsas.net
"không còn chướng ngại, vì tâm không chướng ngại nên không",budsas.net
"còn sợ hãi, xa lìa được cái điên đảo mộng tưởng, đạt",budsas.net
Các vị Phật ba đời vì nương theo trí tuệ Bát Nhã nầy mà,budsas.net
"đắc quả vô thượng, chánh đẳng chánh giác.",budsas.net
Cho nên phải biết rằng Bát nhã Ba la mật đa là đại thần,budsas.net
"chú, là đại minh chú, là chú vô thượng, là chú cao cấp",budsas.net
"nhất, luôn trừ các khổ não, chân thật không hư dối.",budsas.net
"Cho nên khi nói đến Bát nhã Ba la mật đa, tức là phải nói",budsas.net
"Yết đế yết đế, ba la yết đế,",budsas.net
"ba la tăng yết đế, bồ đề tát bà ha.",budsas.net
"(Qua rồi qua rồi, qua bên kia rồi, tất cả qua bên kia rồi,",budsas.net
Khi quán chiếu thâm sâu,budsas.net
(tức Diệu Pháp Trí Ðộ),budsas.net
Bổng soi thấy năm uẩn,budsas.net
Ðều không có tự tánh,budsas.net
Thực chứng điều ấy xong,budsas.net
Ngài vượt thoát tất cả,budsas.net
Mọi khổ đau ách nạn.,budsas.net
Sắc chẳng khác gì không,budsas.net
Không chẳng khác gì sắc,budsas.net
Sắc chính thực là không,budsas.net
Không chính thực là sắc,budsas.net
Cũng đều như vậy cả.,budsas.net
Thể mọi pháp đều không,budsas.net
