id,sanskrit_text,ref_han_viet,ref_viet_modern,source
1,ārya-avalokiteśvaro bodhisattvo gambhīrāṃ prajñāpāramitā caryāṃ caramāṇo vyavalokayati sma: pañca-skandhās tāṃś ca svabhāva śūnyān paśyati sma.,"Quán Tự Tại Bồ Tát hành thâm Bát nhã Ba la mật đa thời, chiếu kiến ngũ uẩn giai không, độ nhất thiết khổ ách.","Ngài Bồ Tát Quán Tự Tại khi thực hành thâm sâu về trí tuệ Bát Nhã Ba la mật, thì soi thấy năm uẩn đều là không, do đó vượt qua mọi khổ đau ách nạn.",Heart Sutra (Budsas)
2,iha śāriputra: rūpaṃ śūnyatā śūnyataiva rūpaṃ; rūpān na pṛthak śūnyatā śunyatāyā na pṛthag rūpaṃ; yad rūpaṃ sā śūnyatā; ya śūnyatā tad rūpaṃ.,"Xá Lợi Tử, sắc bất dị không, không bất dị sắc, sắc tức thị không, không tức thị sắc,","Này Xá Lợi Tử, sắc chẳng khác gì không, không chẳng khác gì sắc, sắc chính là không, không chính là sắc,",Heart Sutra (Budsas)
3,evam eva vedanā saṃjñā saṃskāra vijñānaṃ.,thọ tưởng hành thức diệc phục như thị.,thọ tưởng hành thức cũng đều như thế.,Heart Sutra (Budsas)
4,"iha śāriputra: sarva-dharmāḥ śūnyatā-lakṣaṇā, anutpannā aniruddhā, amalā avimalā, anūnā aparipūrṇāḥ.","Xá Lợi Tử, thị chư pháp không tướng, bất sanh bất diệt, bất cấu bất tịnh, bất tăng bất giảm.","Này Xá Lợi Tử, tướng không của các pháp ấy chẳng sinh chẳng diệt, chẳng nhơ chẳng sạch, chẳng thêm chẳng bớt.",Heart Sutra (Budsas)
5,tasmāc chāriputra śūnyatayāṃ na rūpaṃ na vedanā na saṃjñā na saṃskārāḥ na vijñānam.,"Thị cố không trung vô sắc, vô thọ tưởng hành thức.","Cho nên trong cái không đó, nó không có sắc, không thọ tưởng hành thức.",Heart Sutra (Budsas)
6,na cakṣuḥ-śrotra-ghrāna-jihvā-kāya-manāṃsi.,"Vô nhãn nhĩ tỷ thiệt thân ý,","Không có mắt, tai, mũi, lưỡi, thân ý.",Heart Sutra (Budsas)
7,na rūpa-śabda-gandha-rasa-spraṣṭavya-dharmāḥ.,"vô sắc thanh hương vị xúc pháp,","Không có sắc, thanh, hương vị, xúc pháp.",Heart Sutra (Budsas)
8,na cakṣūr-dhātur yāvan na manovijñāna-dhātuḥ.,"vô nhãn giới nãi chí vô ý thức giới.","Không có nhãn giới cho đến không có ý thức giới.",Heart Sutra (Budsas)
9,na-avidyā na-avidyā-kṣayo yāvan na jarā-maraṇam na jarā-maraṇa-kṣayo.,"Vô vô minh, diệc vô vô minh tận, nãi chí vô lão tử, diệc vô lão tử tận.","Không có vô minh, mà cũng không có hết vô minh. Không có già chết, mà cũng không có hết già chết.",Heart Sutra (Budsas)
10,na duhkha-samudaya-nirodha-mārgā.,"Vô khổ, tập, diệt, đạo.","Không có khổ, tập, diệt, đạo.",Heart Sutra (Budsas)
11,"na jñānam, na prāptir na-aprāptiḥ.","Vô trí diệc vô đắc, dĩ vô sở đắc cố.","Không có trí cũng không có đắc, vì không có sở đắc.",Heart Sutra (Budsas)
12,tasmāc chāriputra aprāptitvād bodhisattvasya prajñāpāramitām āśritya viharatyacittāvaraṇaḥ.,"Bồ đề tát đõa y Bát nhã Ba la mật đa cố, tâm vô quái ngại,","Khi vị Bồ Tát nương tựa vào trí tuệ Bát Nhã này thì tâm không còn chướng ngại,",Heart Sutra (Budsas)
13,cittāvaraṇa-nāstitvād atrasto viparyāsa-atikrānto niṣṭhā-nirvāṇa-prāptaḥ.,"vô quái ngại cố, vô hữu khủng bố, viễn ly điên đảo mộng tưởng, cứu cánh Niết bàn.","vì tâm không chướng ngại nên không còn sợ hãi, xa lìa được cái điên đảo mộng tưởng, đạt đến cứu cánh Niết Bàn.",Heart Sutra (Budsas)
14,tryadhva-vyavasthitāḥ sarva-buddhāḥ prajñāpāramitām āśrityā-anuttarāṃ samyaksambodhim abhisambuddhāḥ.,"Tam thế chư Phật, y Bát nhã Ba la mật đa cố, đắc A nậu đa la Tam miệu Tam bồ đề.","Các vị Phật ba đời vì nương theo trí tuệ Bát Nhã này mà đắc quả vô thượng, chánh đẳng chánh giác.",Heart Sutra (Budsas)
15,tasmāj jñātavyam: prajñāpāramitā mahā-mantro mahā-vidyā mantro 'nuttara-mantro samasama-mantraḥ.,"Cố tri Bát nhã Ba la mật đa, thị đại thần chú, thị đại minh chú, thị vô thượng chú, thị vô đẳng đẳng chú,","Cho nên phải biết rằng Bát nhã Ba la mật đa là đại thần chú, là đại minh chú, là chú vô thượng, là chú cao cấp nhất,",Heart Sutra (Budsas)
16,"sarva duḥkha praśamanaḥ, satyam amithyatāt.","năng trừ nhất thiết khổ, chân thật bất hư.","luôn trừ các khổ não, chân thật không hư dối.",Heart Sutra (Budsas)
17,prajñāpāramitāyām ukto mantraḥ tadyathā:,"Cố thuyết Bát nhã Ba la mật đa chú, tức thuyết chú viết:","Cho nên khi nói đến Bát nhã Ba la mật đa, tức là phải nói câu chú:",Heart Sutra (Budsas)
18,gate gate pāragate pārasaṃgate bodhi svāhā.,"Yết đế yết đế, ba la yết đế, ba la tăng yết đế, bồ đề tát bà ha.","Yết đế yết đế, ba la yết đế, ba la tăng yết đế, bồ đề tát bà ha.",Heart Sutra (Budsas)
