id,sanskrit_text,ref_viet_thichminhchau,ref_viet_modern,theme,source
1,Manaḥpūrvāṅgamā dharmā manaḥśreṣṭhā manojavāḥ; Manasā hi praduṣṭena bhāṣate vā karoti vā; Tato'sya duḥkham anveti cakram iva vahataḥ padam.,"Ý dẫn đầu các pháp, Ý làm chủ, ý tạo; Nếu với ý ô nhiễm, Nói lên hay hành động, Khổ não bước theo sau, Như xe, chân vật kéo.","Tâm trí dẫn đầu mọi hành động, tâm trí làm chủ và tạo tác tất cả. Nếu nói năng hay hành động với tâm địa xấu xa, khổ đau sẽ đi theo ngay sau đó, giống như bánh xe lăn theo chân con vật kéo xe.",Mind (Impure),Dhammapada 1 / Udanavarga 31.23
2,Manaḥpūrvāṅgamā dharmā manaḥśreṣṭhā manojavāḥ; Manasā hi prasannena bhāṣate vā karoti vā; Tato'sya sukham anveti chāyā iva anapāyinī.,"Ý dẫn đầu các pháp, Ý làm chủ, ý tạo; Nếu với ý thanh tịnh, Nói lên hay hành động, An lạc bước theo sau, Như bóng, không rời hình.","Tâm trí dẫn đầu mọi hành động, tâm trí làm chủ và tạo tác tất cả. Nếu nói năng hay hành động với tâm hồn trong sáng, hạnh phúc sẽ đi theo ngay sau đó, giống như bóng không bao giờ rời hình.",Mind (Pure),Dhammapada 2 / Udanavarga 31.24
3,"Ākrośan mām avocan mām, ayojan mām ajāpayet; Atra ye hy upanahyanti, vairaṃ teṣāṃ na śāmyati.","Nó mắng tôi, đánh tôi, Nó thắng tôi, cướp tôi. Ai ôm hiềm hận ấy, Hận thù không thể nguôi.","""Hắn mắng tôi, đánh tôi, hắn thắng tôi, cướp của tôi"". Ai cứ giữ mãi những ý nghĩ oán hờn đó trong lòng thì hận thù không bao giờ chấm dứt.",Hatred (Holding),Dhammapada 3 / Udanavarga 14.9
4,"Ākrośan mām avocan mām, ayojan mām ajāpayet; Atra ye na hy upanahyanti, vairaṃ teṣāṃ praśāmyati.","Nó mắng tôi, đánh tôi, Nó thắng tôi, cướp tôi. Không ôm hiềm hận ấy, Hận thù được tự nguôi.","""Hắn mắng tôi, đánh tôi, hắn thắng tôi, cướp của tôi"". Ai không giữ những ý nghĩ oán hờn đó trong lòng thì hận thù sẽ tự nhiên tan biến.",Hatred (Releasing),Dhammapada 4 / Udanavarga 14.10
5,"Na hi vaireṇa vairāṇi, śāmyantīha kadācana; Avaireṇa ca śāmyanti, eṣa dharmaḥ sanātanaḥ.","Với hận diệt hận thù, Ðời này không có được. Không hận diệt hận thù, Là định luật ngàn thu.","Trên đời này, lấy oán báo oán thì hận thù không bao giờ dứt. Chỉ có lấy ân từ để xóa bỏ hận thù, đó là định luật ngàn xưa.",Non-violence,Dhammapada 5 / Udanavarga 14.12
6,"Pare ca na vijānanti, vayam atra yamāmahe; Ye ca tatra vijānanti, tataḥ śāmyanti medhakāḥ.","Và người khác không biết, Chúng ta đây bị hại. Chỗ ấy, ai hiểu được, Tranh luận được lắng êm.",Người đời thường không biết rằng chúng ta rồi sẽ chết. Chỉ những ai thấu hiểu điều này thì mọi tranh chấp mới lắng xuống ngay.,Quarrels/Death,Dhammapada 6 / Udanavarga 14.15
7,"Śubhānupaśyī viharann, indriyeṣv asaṃvṛtaḥ; Bhojane cāpi amātrajñaḥ, kuśīto hīnavīryavān; Taṃ vai prasahate rāgo, vātaḥ śuṣkam iva drumam.","Ai sống nhìn tịnh tướng, Không hộ trì các căn, Ăn uống thiếu tiết độ, Biếng nhác, chẳng tinh cần, Ma uy hiếp kẻ ấy, Như cây yếu trước gió.","Người sống chỉ chạy theo vẻ đẹp bề ngoài, không kiểm soát các giác quan, ăn uống không biết điểm dừng, lười biếng và yếu đuối, Ma Vương sẽ quật ngã kẻ ấy dễ như gió quật đổ cây yếu.",Temptation (Weak),Dhammapada 7 / Udanavarga 29.15
8,"Aśubhānupaśyī viharann, indriyeṣu susaṃvṛtaḥ; Bhojane cāpi mātrajñaḥ, śrāddha ārabdhavīryavān; Taṃ na prasahate rāgo, vātaḥ śailam iva parvatam.","Ai sống quán bất tịnh, Khéo hộ trì các căn, Ăn uống có tiết độ, Có lòng tin, tinh cần, Ma không uy hiếp được, Như núi đá trước gió.","Người sống quán chiếu sự không trong sạch của thân xác, khéo kiểm soát giác quan, ăn uống chừng mực, có đức tin và siêng năng, Ma Vương không thể lay chuyển được, như gió thổi vào núi đá.",Temptation (Strong),Dhammapada 8 / Udanavarga 29.16
9,"Aniṣkaṣāyaḥ kāṣāyaṃ, yo vastraṃ paridhāsyati; Apetadamasauratyo, nāsau kāṣāyam arhati.","Ai mặc áo cà sa, Tâm chưa rời uế trược, Không tự chế, không thực, Không xứng áo cà sa.","Người mặc áo cà sa mà tâm còn đầy vết nhơ (tham sân si), thiếu sự chân thật và tự chủ, thì không xứng đáng với chiếc áo ấy.",Robes (Unworthy),Dhammapada 9 / Udanavarga 29.7
10,"Yas tu vāntakaṣāyaḥ syāt, śīleṣu susamāhitaḥ; Upetadamasauratyaḥ, sa vai kāṣāyam arhati.","Ai rời bỏ uế trược, Giới luật khéo nghiêm trì, Tự chế, sống chơn thực, Thật xứng áo cà sa.","Người đã gột rửa hết những vết nhơ trong tâm, giữ gìn đạo đức nghiêm túc, sống chân thật và tự chủ, người ấy mới thực sự xứng đáng khoác áo cà sa.",Robes (Worthy),Dhammapada 10 / Udanavarga 29.8
11,"Asāre sāramatayaḥ, sāre cāsārasaṃjñinaḥ; Te sāraṃ nādhigacchanti, mithyā saṃkalpagocarāḥ.","Không chân, tưởng chân thật, Chân thật, thấy không chân. Họ không đạt chân thật, Do tà tư, tà hạnh.","Cái giả thì cho là thật, cái thật lại cho là giả. Những người có tư duy sai lệch như vậy sẽ không bao giờ tìm thấy chân lý.",False Views,Dhammapada 11 / Udanavarga 29.3
12,"Sāraṃ ca sārato jñātvā, asāraṃ ca asārataḥ; Te sāraṃ adhigacchanti, samyak saṃkalpagocarāḥ.","Chân thật, biết chân thật, Không chân, biết không chân. Họ đạt được chân thật, Do chánh tư, chánh hạnh.","Cái thật biết là thật, cái giả biết là giả. Những người có tư duy đúng đắn như vậy sẽ tìm thấy chân lý.",Right Views,Dhammapada 12 / Udanavarga 29.4
13,"Yathāgāraṃ ducchannaṃ, vṛṣṭiḥ samatividhyati; Evam abhāvitaṃ cittaṃ, rāgaḥ samatividhyati.","Như ngôi nhà vụng lợp, Mưa liền xâm nhập vào. Cũng vậy tâm không tu, Tham dục liền xâm nhập.","Như mái nhà lợp vụng về thì mưa sẽ dột vào. Cũng vậy, tâm không được tu dưỡng thì dục vọng sẽ dễ dàng xâm chiếm.",Mind (Leaky),Dhammapada 13 / Udanavarga 31.27
14,"Yathāgāraṃ succhannaṃ, vṛṣṭir na samatividhyati; Evaṃ subhāvitaṃ cittaṃ, rāgo na samatividhyati.","Như ngôi nhà khéo lợp, Mưa không xâm nhập vào. Cũng vậy tâm khéo tu, Tham dục không xâm nhập.","Như mái nhà được lợp kỹ càng thì mưa không thể lọt vào. Cũng vậy, tâm được tu dưỡng khéo léo thì dục vọng không thể xâm nhập.",Mind (Guarded),Dhammapada 14 / Udanavarga 31.28
15,"Iha śocati pretya śocati, pāpakārī ubhayatra śocati; Sa śocati sa vihanyate, dṛṣṭvā karmakliṣṭam ātmanaḥ.","Nay sầu, đời sau sầu, Kẻ ác, hai đời sầu. Nó sầu, nó ưu não, Thấy nghiệp uế mình làm.","Đời này buồn khổ, đời sau cũng buồn khổ, kẻ làm ác chịu khổ cả hai nơi. Người ấy than khóc và ưu phiền khi nhìn thấy những hành động ô uế của chính mình.",Grief (Evil),Dhammapada 15 / Udanavarga 9.5
16,"Iha modate pretya modate, kṛtapuṇyo ubhayatra modate; Sa modate sa pramodate, dṛṣṭvā karmaviśuddhim ātmanaḥ.","Nay vui, đời sau vui, Làm phước, hai đời vui. Nó vui, nó an vui, Thấy nghiệp tịnh mình làm.","Đời này vui, đời sau cũng vui, người làm phước hưởng vui cả hai nơi. Người ấy an vui và hân hoan khi nhìn thấy những hành động thanh tịnh của chính mình.",Joy (Good),Dhammapada 16 / Udanavarga 9.6
19,"Subahv apīha sahitaṃ bhāṣamāṇo, na tat karo bhavati naraḥ pramattaḥ; Gopaiva gāḥ saṃgaṇayan pareṣāṃ, na bhāgavān śrāmaṇyārthasya bhavati.","Nếu người nói nhiều kinh, Không hành trì, phóng dật. Như kẻ chăn bò người, Không phần Sa môn hạnh.","Dù có tụng đọc nhiều kinh điển nhưng buông thả không thực hành, thì cũng chỉ như kẻ chăn bò thuê đếm bò cho người khác, chẳng được hưởng phần lợi ích của người tu.",Practice vs Speech,Dhammapada 19 / Udanavarga 4.22
20,"Alpam api cet sahitaṃ bhāṣamāṇo, dharmasya bhavati hy anudharmacārī; Rāgaṃ ca doṣaṃ ca tathaiva mohaṃ, prahāyabhāgī śrāmaṇyārthasya bhavati.","Dầu nói ít kinh điển, Nhưng hành pháp, tùy pháp, Từ bỏ tham, sân, si, Tỉnh giác, tâm giải thoát, Không chấp thủ hai đời, Dự phần Sa môn hạnh.","Dù đọc tụng ít kinh điển nhưng sống đúng theo chánh pháp, từ bỏ tham lam, sân hận và si mê, có trí tuệ và tâm tự do giải thoát, không dính mắc vào đời này hay đời sau, người ấy thực sự hưởng phần lợi ích của người tu.",Practice (True),Dhammapada 20 / Udanavarga 4.23
