id,sanskrit_text,vietnamese_reference,source
1,"gate gate pāragate pārasaṃgate bodhi svāhā","Yết đế, yết đế, Ba la yết đế, Ba la tăng yết đế, Bồ đề tát bà ha.","Heart Sutra"
2,"rūpaṃ śūnyatā śūnyataiva rūpaṃ","Sắc tức thị không, không tức thị sắc.","Heart Sutra"
3,"rūpān na pṛthak śūnyatā śunyatāyā na pṛthag rūpaṃ","Sắc chẳng khác không, không chẳng khác sắc.","Heart Sutra"
4,"yad rūpaṃ sā śūnyatā; ya śūnyatā tad rūpaṃ","Hễ sắc tức là không, không tức là sắc.","Heart Sutra"
5,"evam eva vedanā saṃjñā saṃskāra vijñānaṃ","Thọ, Tưởng, Hành, Thức cũng lại như vậy.","Heart Sutra"
6,"iha śāriputra: sarva-dharmāḥ śūnyatā-lakṣaṇā","Này Xá Lợi Tử, tướng không của các pháp:","Heart Sutra"
7,"anutpannā aniruddhā, amalā avimalā, anūnā aparipūrṇāḥ","Không sinh không diệt, không nhơ không sạch, không thêm không bớt.","Heart Sutra"
8,"tasmāc chāriputra śūnyatayāṃ na rūpaṃ na vedanā na saṃjñā na saṃskārāḥ na vijñānam","Cho nên trong tướng Không, không có Sắc, không có Thọ, Tưởng, Hành, Thức.","Heart Sutra"
9,"na cakṣuḥ-śrotra-ghrāna-jihvā-kāya-manāṃsi","Không có Mắt, Tai, Mũi, Lưỡi, Thân, Ý.","Heart Sutra"
10,"na rūpa-śabda-gandha-rasa-spraṣṭavya-dharmaah","Không có Sắc, Thanh, Hương, Vị, Xúc, Pháp.","Heart Sutra"
11,"na cakṣūr-dhātur yāvan na manovijñāna-dhātuḥ","Không có nhãn giới, cho đến không có ý thức giới.","Heart Sutra"
12,"na-avidyā na-avidyā-kṣayo","Không có vô minh, cũng không có cái hết vô minh.","Heart Sutra"
13,"yāvan na jarā-maraṇam na jarā-maraṇa-kṣayo","Cho đến không có già chết, cũng không có cái hết già chết.","Heart Sutra"
14,"na duhkha-samudaya-nirodha-margā","Không có Khổ, Tập, Diệt, Đạo.","Heart Sutra"
15,"na jñānam, na prāptir na-aprāptiḥ","Không có Trí, cũng không có Đắc.","Heart Sutra"
16,"tasmāc chāriputra aprāptitvād bodhisattvasya prajñāpāramitām āśritya viharatyacittāvaraṇaḥ","Nên Bồ Tát y theo Bát Nhã Ba La Mật Đa, tâm không ngăn ngại.","Heart Sutra"
17,"cittāvaraṇa-nāstitvād atrastro viparyāsa-atikrānto niṣṭhā-nirvāṇa-prāptaḥ","Vì không ngăn ngại nên không sợ hãi, xa lìa mộng tưởng điên đảo, đạt đến Cứu Cánh Niết Bàn.","Heart Sutra"
18,"tryadhva-vyavasthitāḥ sarva-buddhāḥ prajñāpāramitām āśrityā-anuttarāṃ samyaksambodhim abhisambuddhāḥ","Chư Phật trong ba đời cũng y vào Bát Nhã Ba La Mật Đa, được đạo quả Vô Thượng Chánh Đẳng Chánh Giác.","Heart Sutra"
19,"tasmāj jñātavyam: prajñāpāramitā mahā-mantro mahā-vidyā mantro 'nuttara-mantro samasama-mantraḥ","Nên biết Bát Nhã Ba La Mật Đa là đại thần chú, là đại minh chú, là vô thượng chú, là vô đẳng đẳng chú.","Heart Sutra"
20,"sarva duḥkha praśamanaḥ, satyam amithyatāt","Hay trừ được nhất thiết khổ, chân thật không hư.","Heart Sutra"
